Class,Package_Ecosystem,Package_Name,Package_Version,Analysis_import_Commands_Command,Analysis_import_Sockets_Hostnames,Analysis_import_Sockets_Address
malicious,pypi,lodestone,0.0.37,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.37,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.37,fc-list,,
malicious,pypi,lodestone,0.0.37,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.38,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.38,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.38,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.38,fc-list,,::1
malicious,pypi,lodestone,0.0.38,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.38,fc-list,,
malicious,pypi,lodestone,0.0.39,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.39,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,34.206.245.84
malicious,pypi,lodestone,0.0.39,fc-list,,
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,52.206.40.171
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,52.71.169.75
malicious,pypi,lodestone,0.0.39,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,50.16.24.33
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,54.156.92.204
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,52.71.164.223
malicious,pypi,lodestone,0.0.39,fc-list,,::1
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,35.171.125.206
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,52.22.185.56
malicious,pypi,lodestone,0.0.39,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.39,fc-list,checkip.amazonaws.com,
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,52.206.40.171
malicious,pypi,lodestone,0.0.40,fc-list,,::1
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,34.206.245.84
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,52.7.98.79
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,54.146.156.226
malicious,pypi,lodestone,0.0.40,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,35.171.125.206
malicious,pypi,lodestone,0.0.40,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.40,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,52.71.164.223
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,34.197.183.12
malicious,pypi,lodestone,0.0.40,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.40,fc-list,,
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,54.156.92.204
malicious,pypi,lodestone,0.0.40,fc-list,checkip.amazonaws.com,
malicious,pypi,lodestone,0.0.41,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.41,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.41,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.41,fc-list,,::1
malicious,pypi,lodestone,0.0.41,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.41,fc-list,,
malicious,pypi,lodestone,0.0.42,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.42,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.42,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,52.71.164.223
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,52.71.169.75
malicious,pypi,lodestone,0.0.42,fc-list,,::1
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,52.55.99.157
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,54.146.156.226
malicious,pypi,lodestone,0.0.42,fc-list,,
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,54.156.92.204
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,52.22.185.56
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,35.171.125.206
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,52.70.187.73
malicious,pypi,lodestone,0.0.42,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.42,fc-list,checkip.amazonaws.com,
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,52.22.185.56
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,52.55.99.157
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,3.94.215.13
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,54.156.92.204
malicious,pypi,lodestone,0.0.44,fc-list,,::1
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,54.144.163.90
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,50.16.24.33
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,52.54.140.3
malicious,pypi,lodestone,0.0.44,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.44,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.44,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,52.4.129.168
malicious,pypi,lodestone,0.0.44,fc-list,checkip.amazonaws.com,
malicious,pypi,lodestone,0.0.44,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.44,fc-list,,
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,52.44.124.101
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,52.7.96.150
malicious,pypi,lodestone,0.0.46,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,52.4.199.229
malicious,pypi,lodestone,0.0.46,fc-list,,
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,54.146.169.10
malicious,pypi,lodestone,0.0.46,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.46,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,35.171.209.122
malicious,pypi,lodestone,0.0.46,fc-list,api.gradio.app,54.201.210.57
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,35.168.96.87
malicious,pypi,lodestone,0.0.46,fc-list,,::1
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,52.72.108.71
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,52.6.219.4
malicious,pypi,lodestone,0.0.46,fc-list,checkip.amazonaws.com,
malicious,pypi,lodestone,0.0.48,git,api.gradio.app,44.224.95.90
malicious,pypi,lodestone,0.0.48,git,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.48,fc-list,api.gradio.app,44.224.95.90
malicious,pypi,lodestone,0.0.48,git,,8.8.8.8
malicious,pypi,lodestone,0.0.48,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.48,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.48,fc-list,,::1
malicious,pypi,lodestone,0.0.48,git,,::1
malicious,pypi,lodestone,0.0.48,git,api.gradio.app,
malicious,pypi,lodestone,0.0.48,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.48,fc-list,,
malicious,pypi,lodestone,0.0.48,git,,
malicious,pypi,lodestone,0.0.49,fc-list,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.49,git,,8.8.8.8
malicious,pypi,lodestone,0.0.49,git,api.gradio.app,44.224.95.90
malicious,pypi,lodestone,0.0.49,fc-list,,8.8.8.8
malicious,pypi,lodestone,0.0.49,git,api.gradio.app,54.184.131.198
malicious,pypi,lodestone,0.0.49,fc-list,api.gradio.app,44.224.95.90
malicious,pypi,lodestone,0.0.49,fc-list,,::1
malicious,pypi,lodestone,0.0.49,git,api.gradio.app,
malicious,pypi,lodestone,0.0.49,git,,::1
malicious,pypi,lodestone,0.0.49,fc-list,,
malicious,pypi,lodestone,0.0.49,git,,
malicious,pypi,lodestone,0.0.49,fc-list,api.gradio.app,
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:323
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.27.34
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.26.34
malicious,pypi,lodestone,0.0.58,python,,::1
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1a22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.25.34
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:223
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.1.35
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.31.34
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.28.34
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:123
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1922
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1f22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.24.34
malicious,pypi,lodestone,0.0.58,python,0.tcp.ap.ngrok.io,13.229.3.203
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1b22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1e22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.0.35
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1d22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.3.35
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1c22
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:1822
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,2606:4700::6810:23
malicious,pypi,lodestone,0.0.58,python,,8.8.8.8
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.29.34
malicious,pypi,lodestone,0.0.58,python,0.tcp.ap.ngrok.io,
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.2.35
malicious,pypi,lodestone,0.0.58,python,registry.npmjs.org,104.16.30.34
malicious,pypi,lodestone,0.0.58,python,,
malicious,pypi,lodestone,0.0.59,python,0.tcp.ap.ngrok.io,18.141.129.246
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:323
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1922
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.27.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.24.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.28.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1f22
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.30.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1822
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1d22
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1e22
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1a22
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.29.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.26.34
malicious,pypi,lodestone,0.0.59,python,,
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.31.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1c22
malicious,pypi,lodestone,0.0.59,python,,::1
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.2.35
malicious,pypi,lodestone,0.0.59,python,0.tcp.ap.ngrok.io,
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.25.34
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.0.35
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:23
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:123
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:223
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.3.35
malicious,pypi,lodestone,0.0.59,python,,8.8.8.8
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,104.16.1.35
malicious,pypi,lodestone,0.0.59,python,registry.npmjs.org,2606:4700::6810:1b22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.28.34
malicious,pypi,lodestone,0.0.62,python,0.tcp.ap.ngrok.io,
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1922
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.25.34
malicious,pypi,lodestone,0.0.62,python,0.tcp.ap.ngrok.io,18.141.129.246
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:323
malicious,pypi,lodestone,0.0.62,python,,::1
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1c22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.26.34
malicious,pypi,lodestone,0.0.62,python,,8.8.8.8
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:223
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.31.34
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1d22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.1.35
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1f22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1a22
malicious,pypi,lodestone,0.0.62,python,,
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1e22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.3.35
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.30.34
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:23
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1822
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.29.34
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.0.35
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:1b22
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.24.34
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.27.34
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,104.16.2.35
malicious,pypi,lodestone,0.0.62,python,registry.npmjs.org,2606:4700::6810:123
malicious,pypi,lodestone,0.0.63,python,0.tcp.ap.ngrok.io,13.229.3.203
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.31.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1f22
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1b22
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1a22
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.27.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1c22
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.0.35
malicious,pypi,lodestone,0.0.63,python,,8.8.8.8
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.26.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.28.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.24.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1922
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.3.35
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:123
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:23
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.30.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:323
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1822
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1d22
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:223
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.1.35
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.29.34
malicious,pypi,lodestone,0.0.63,python,0.tcp.ap.ngrok.io,
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,2606:4700::6810:1e22
malicious,pypi,lodestone,0.0.63,python,,::1
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.25.34
malicious,pypi,lodestone,0.0.63,python,registry.npmjs.org,104.16.2.35
malicious,pypi,lodestone,0.0.63,python,,
malicious,rubygems,ptrsec_rce,0.0.1,ping,,8.8.8.8
malicious,rubygems,ptrsec_rce,0.0.1,ping,vba46ctwhnzv2ew3zl2bjsgy3p9gxbl0.oastify.com,54.77.139.23
malicious,rubygems,ptrsec_rce,0.0.1,ping,vba46ctwhnzv2ew3zl2bjsgy3p9gxbl0.oastify.com,3.248.33.252
malicious,crates.io,littest,0.2.2,cc,,
malicious,crates.io,littest,0.2.5,run,,
malicious,crates.io,littest,0.2.4,run,,
malicious,crates.io,littest,0.2.5,cc,,
malicious,crates.io,littest,0.2.2,run,,
malicious,crates.io,littest,0.2.1,run,,
malicious,crates.io,littest,0.3.2,cc,,
malicious,crates.io,littest,0.2.6,cc,,
malicious,crates.io,littest,0.2.6,run,,
malicious,crates.io,littest,0.3.2,run,,
malicious,crates.io,littest,0.2.1,cc,,
malicious,crates.io,littest,0.2.4,cc,,
malicious,rubygems,ptrsec_rce,0.0.1,ping,vba46ctwhnzv2ew3zl2bjsgy3p9gxbl0.oastify.com,
malicious,rubygems,ptrsec_rce,0.0.1,ping,,
malicious,npm,nespresso-bi,4.9.9-9.0,cat,,
malicious,npm,nespresso-bi,4.7.9-9.0,cat,,
malicious,npm,nespresso-bi,4.8.9-9.0,cat,,
malicious,npm,nespresso-bi,3.999.0,head,,8.8.8.8
malicious,npm,nespresso-bi,3.999.0,nslookup,,
malicious,npm,nespresso-bi,3.999.0,curl,,8.8.8.8
malicious,npm,nespresso-bi,3.999.0,nslookup,,8.8.8.8
malicious,npm,nespresso-bi,3.999.0,curl,,
malicious,npm,nespresso-bi,3.999.0,whoami,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,3.999.0,head,ifconfig.me,
malicious,npm,nespresso-bi,3.999.0,curl,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,3.999.0,head,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,3.999.0,hostname,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,3.999.0,nslookup,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,3.999.0,nslookup,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,3.999.0,whoami,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,3.999.0,whoami,,
malicious,npm,nespresso-bi,3.999.0,head,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,3.999.0,whoami,,8.8.8.8
malicious,npm,nespresso-bi,3.999.0,curl,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,3.999.0,hostname,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,3.999.0,hostname,,8.8.8.8
malicious,npm,nespresso-bi,3.999.0,head,,
malicious,npm,nespresso-bi,3.999.0,hostname,,
malicious,npm,nespresso-bi,3.999.0,curl,ifconfig.me,
malicious,npm,nespresso-bi,3.999.0,whoami,ifconfig.me,
malicious,npm,nespresso-bi,3.999.0,hostname,ifconfig.me,
malicious,npm,nespresso-bi,3.999.0,nslookup,ifconfig.me,
malicious,npm,nespresso-bi,199.999.0,hostname,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,199.999.0,nslookup,,
malicious,npm,nespresso-bi,199.999.0,whoami,ifconfig.me,
malicious,npm,nespresso-bi,199.999.0,head,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,199.999.0,hostname,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,199.999.0,hostname,,8.8.8.8
malicious,npm,nespresso-bi,199.999.0,whoami,,8.8.8.8
malicious,npm,nespresso-bi,199.999.0,curl,,8.8.8.8
malicious,npm,nespresso-bi,199.999.0,curl,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,199.999.0,head,,
malicious,npm,nespresso-bi,199.999.0,head,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,199.999.0,curl,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,199.999.0,whoami,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,199.999.0,hostname,,
malicious,npm,nespresso-bi,199.999.0,nslookup,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,199.999.0,whoami,ifconfig.me,2600:1901:0:bbc3::
malicious,npm,nespresso-bi,199.999.0,head,,8.8.8.8
malicious,npm,nespresso-bi,199.999.0,nslookup,,8.8.8.8
malicious,npm,nespresso-bi,199.999.0,curl,ifconfig.me,
malicious,npm,nespresso-bi,199.999.0,curl,,
malicious,npm,nespresso-bi,199.999.0,whoami,,
malicious,npm,nespresso-bi,199.999.0,nslookup,ifconfig.me,34.117.118.44
malicious,npm,nespresso-bi,199.999.0,nslookup,ifconfig.me,
malicious,npm,nespresso-bi,199.999.0,head,ifconfig.me,
malicious,npm,nespresso-bi,199.999.0,hostname,ifconfig.me,
malicious,npm,nespresso-bi,4.3.9-9.0,ls,38.rs,109.123.242.116
malicious,npm,nespresso-bi,4.3.9-9.0,head,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,ls,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,cat,38.rs,109.123.242.116
malicious,npm,nespresso-bi,4.3.9-9.0,curl,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,head,38.rs,109.123.242.116
malicious,npm,nespresso-bi,4.3.9-9.0,id,38.rs,109.123.242.116
malicious,npm,nespresso-bi,4.3.9-9.0,id,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,curl,,
malicious,npm,nespresso-bi,4.3.9-9.0,cat,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,hostname,,8.8.8.8
malicious,npm,nespresso-bi,4.3.9-9.0,hostname,,
